id	Mutant1_M2	Mutant1_M3	Mutant1_M4	Mutant2_M1	Mutant2_M2	Mutant2_M3	Mutant2_M4	Mutant3_M3	Mutant3_M4	Mutant3_M1	Mutant3_M2	WT_M1	WT_M2	WT_M3	WT_M4
gene1	2490	6756	7961	16640	12003	28910	14681	18006	40341	31950	10342	2313	1436	3816	924
gene2	374	490	398	388	354	401	356	238	268	543	385	466	299	312	294
gene3	70	97	124	302	277	311	234	118	128	465	268	151	132	154	71
gene4	18	16	22	11	10	24	18	9	7	38	18	34	24	21	31
gene5	2	2	1	4	0	3	1	1	0	3	2	2	2	2	0
gene6	67	94	133	209	149	190	188	125	162	248	142	196	103	115	81
gene7	75	87	88	153	128	115	137	90	83	179	98	208	110	107	100
gene8	584	704	553	1789	964	1478	1576	679	1086	2056	585	879	506	723	564
gene9	873	1221	969	2802	1850	2289	2511	2382	2523	4983	2503	1286	626	1625	687
gene10	117	206	183	271	221	273	239	91	87	339	204	278	263	182	187
gene11	16	29	39	64	52	48	58	29	16	103	33	51	61	42	49
gene12	1916	5368	4978	17	6	15	9	8	15	40	6	413	342	183	382
gene13	51	77	57	67	45	59	76	34	33	100	61	95	67	51	60
gene14	193	310	619	536	481	570	465	264	344	812	307	424	423	381	230
gene15	0	1	0	1	0	5	4	2	2	8	1	4	2	0	1
gene16	1	2	7	20	10	13	22	5	5	20	6	11	8	11	1
gene17	13	30	43	45	16	32	44	12	24	59	20	38	36	14	23
gene18	382	570	1005	2626	1555	2370	2339	1304	1364	2892	1983	2071	1456	1535	515
gene19	235	376	347	599	487	581	511	353	413	951	603	636	476	285	311
gene20	45	67	52	51	55	71	60	42	58	142	62	128	75	34	61
gene21	1766	3243	3314	1767	973	2260	1506	766	1067	5961	1996	6009	4121	1898	3222
gene22	622	1105	1262	2465	1405	2555	2238	1730	2122	3664	2169	2439	1678	1189	963
gene23	1	5	2	3	2	1	6	2	1	5	4	2	2	0	4
gene24	27	58	46	123	96	149	123	67	85	181	117	70	88	54	45
gene25	0	1	0	0	1	0	2	0	1	1	0	0	0	2	0
gene26	1	1	2	2	1	3	1	0	2	5	3	5	0	4	2
gene27	547	800	1194	762	901	769	709	570	779	917	807	870	659	827	505
gene28	130	217	267	122	115	151	166	69	121	201	136	295	169	166	175
gene29	5	5	11	6	5	8	3	6	6	20	4	3	7	7	5
gene30	15	28	26	2462	560	1927	2091	47	80	257	48	41	31	29	26
gene31	101	173	265	227	158	174	201	134	136	329	268	470	311	221	162
gene32	105	216	296	315	234	270	277	166	205	321	348	526	364	314	191
gene33	579	852	1003	644	707	831	614	473	516	970	704	2911	1639	3014	982
gene34	348	603	789	455	710	447	545	384	591	358	611	790	605	488	462
gene35	323	477	650	1166	960	1152	1101	828	756	1426	1001	1231	886	866	549
gene36	388	430	476	652	593	565	547	306	245	813	481	824	714	552	470
gene37	39	53	26	34	28	21	34	11	11	33	34	104	87	245	53
gene38	276	440	541	888	576	715	776	197	207	799	449	781	762	536	466
gene39	3	9	12	17	4	18	14	4	3	22	6	11	10	8	7
gene40	831	1135	1324	470	499	421	427	189	205	824	401	2162	1981	777	1355
gene41	839	1429	1020	515	477	627	610	922	818	910	642	703	583	421	502
gene42	7	15	13	34	32	30	28	8	9	45	14	14	7	11	6
gene43	75	85	116	132	127	126	155	61	65	178	121	104	88	73	97
gene44	207	278	219	335	212	329	295	183	180	830	287	408	272	314	282
gene45	224	294	260	298	336	332	304	119	129	393	256	439	304	241	286
gene46	371	631	821	865	863	895	803	511	642	741	767	994	863	735	626
gene47	396	523	955	957	843	984	935	510	571	928	688	1374	1062	974	681
gene48	3	7	4	13	11	11	9	3	5	39	46	4	6	28	1
gene49	195	250	310	593	676	576	560	170	192	490	432	513	631	431	344
gene50	1810	3178	7228	1860	1471	1971	1769	1546	2147	2742	2190	6127	2676	3412	2092
gene51	128	218	277	3567	3486	4286	4399	3014	3080	4384	6093	287	292	514	215
gene52	2948	4176	4824	10595	14091	9053	9142	3313	4098	8886	6243	5243	5484	5233	3783
gene53	58	78	107	234	253	170	191	85	90	137	104	171	201	163	92
gene54	273	482	351	902	752	949	731	461	705	986	986	499	310	533	330
gene55	1274	2942	5041	7787	8428	7666	7503	4720	6231	7807	8589	4352	2627	4836	1359
gene56	2	1	1	0	0	1	1	1	0	5	1	4	0	0	4
gene57	56	106	81	385	949	476	364	374	385	705	1235	85	67	121	34
gene58	15	30	24	983	1113	1083	998	1343	1442	1757	2711	14	12	362	9
gene59	12	11	11	18	13	25	34	47	10	72	61	22	15	176	6
gene60	67	109	40	81	57	94	75	40	68	153	113	79	63	80	58
gene61	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
gene62	155	197	223	323	277	307	287	84	90	313	235	356	340	295	196
gene63	42	46	61	71	38	51	61	13	18	71	39	124	97	76	50
gene64	180	255	320	367	205	359	357	240	264	533	291	509	266	272	237
gene65	274	385	592	1083	715	943	909	356	406	1271	757	1271	941	695	433
gene66	115	120	191	171	100	168	139	61	70	184	94	335	189	120	131
gene67	3979	6119	5630	14191	15044	14710	12661	10142	11155	15438	16864	10702	10082	12090	6396
gene68	673	788	694	1767	1787	1510	1497	534	559	1313	1032	1342	1406	977	956
gene69	182	239	226	475	470	496	385	186	204	420	363	325	326	310	270
gene70	321	440	512	785	942	823	710	439	423	1061	868	767	606	534	426
gene71	354	462	553	353	289	311	348	135	141	532	227	758	809	583	518
gene72	231	336	563	86	101	50	71	61	48	49	121	677	839	390	513
gene73	0	1	2	4	3	5	4	2	2	5	10	5	0	1	1
gene74	2179	4024	3965	67	61	59	59	26	34	96	28	3335	2753	1044	1927
gene75	585	975	1098	1523	1263	1298	1392	689	683	1519	1282	1910	1459	1563	884
gene76	38	46	68	80	92	70	78	37	42	135	90	108	94	72	57
gene77	4	4	14	20	19	26	18	7	6	16	8	19	12	12	3
gene78	1668	2017	2414	3327	3732	2980	3096	1691	1691	3417	2939	3749	3311	3316	2395
gene79	1421	1777	4078	909	504	904	774	720	961	877	443	2481	2367	1177	1283
gene80	92	139	127	139	122	111	123	115	129	191	123	205	130	82	88
gene81	93	109	116	426	249	386	339	128	124	397	181	218	205	221	124
gene82	73	108	161	363	251	304	315	158	163	354	183	367	310	260	145
gene83	51	82	129	248	231	234	210	96	82	252	217	237	224	193	136
gene84	6	5	8	19	23	26	16	5	16	19	15	12	11	13	5
gene85	2	3	11	6	11	11	13	9	18	9	8	6	5	3	4
gene86	214	233	619	246	308	270	425	246	382	288	436	187	121	138	100
gene87	132	233	383	294	211	267	370	230	292	304	227	232	152	122	138
gene88	28	30	99	91	58	59	122	92	102	142	71	13	15	7	8
gene89	2066	1921	5867	5056	5999	5312	6314	5330	7615	3850	5500	1099	1339	930	544
gene90	358	515	811	703	697	650	667	446	493	729	753	826	775	588	431
gene91	221	273	504	1028	636	1087	859	561	619	848	425	434	460	366	192
gene92	4	14	12	326	280	354	370	891	775	499	931	42	15	66	16
gene93	329	490	691	1543	969	1588	1312	841	1006	1209	1268	925	742	505	346
gene94	469	602	908	1079	567	995	929	329	388	822	561	1602	1373	1012	777
gene95	96	109	84	8	6	16	7	13	7	17	10	155	152	162	127
gene96	631	822	959	57	79	65	53	7	24	30	20	1293	1625	673	873
gene97	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene98	1	1	1	1516	1483	1542	1510	961	959	1728	3177	6	5	139	7
gene99	4794	4836	3671	78	65	64	63	25	22	98	54	21063	18084	27212	14467
gene100	489	437	336	10	6	20	11	14	4	15	14	4212	3013	7803	2043
gene101	13	19	9	50	78	47	46	10	8	26	18	21	32	85	18
gene102	38	71	79	104	74	122	83	30	36	180	56	109	98	89	81
gene103	181	219	176	66	41	48	45	24	22	49	26	282	286	116	218
gene104	728	732	478	89	97	136	89	11	9	49	30	1008	1117	1648	1047
gene105	43	33	16	16	5	16	6	2	4	13	3	37	30	52	48
gene106	78	79	42	8	9	9	8	0	0	12	14	51	71	93	75
gene107	18	14	8	25	18	27	29	7	11	22	13	18	21	22	20
gene108	383	542	614	521	538	431	553	247	259	927	520	693	491	502	418
gene109	62	111	174	166	132	185	172	74	76	228	141	259	214	139	109
gene110	1	3	0	3	2	3	7	4	6	6	3	1	1	1	1
gene111	119	155	153	246	194	239	244	98	87	216	133	183	165	129	143
gene112	893	1262	1545	1509	1384	1407	1425	911	934	1490	1188	2021	1599	1406	1111
gene113	20	35	50	106	79	122	119	117	110	131	55	78	32	28	25
gene114	4	0	1	1	0	0	4	0	0	1	1	0	0	0	0
gene115	175	210	520	826	542	679	639	114	154	308	280	531	641	349	188
gene116	32	59	166	147	150	140	148	95	67	245	375	134	93	77	49
gene117	205	405	732	961	648	1004	965	629	613	1655	822	547	301	373	229
gene118	14	33	54	110	36	90	105	63	65	204	63	66	31	43	23
gene119	30	62	167	150	182	162	148	69	57	201	203	111	71	105	51
gene120	29	50	119	216	313	195	190	105	109	157	196	188	48	102	60
gene121	79	183	604	362	480	358	393	234	201	394	677	234	95	213	107
gene122	1	1	1	6	6	1	4	2	5	10	0	2	1	3	4
gene123	11	11	11	43	36	37	35	25	26	46	35	19	18	19	16
gene124	21	33	55	18	18	15	5	13	18	17	31	50	43	34	39
gene125	38	49	39	27	34	31	23	12	23	86	62	108	101	46	65
gene126	1	0	1	1	3	3	2	0	1	3	0	1	4	3	2
gene127	48	36	42	83	68	83	78	82	83	160	72	49	33	53	32
gene128	87	133	144	186	139	163	191	72	73	241	170	362	309	191	127
gene129	177	280	242	287	193	282	271	144	127	314	184	453	357	249	210
gene130	37	36	42	80	68	77	66	13	33	88	90	70	53	52	39
gene131	66	96	131	423	570	419	322	194	172	347	366	226	173	166	111
gene132	10	26	27	47	45	38	37	24	50	67	47	45	23	23	21
gene133	135	180	162	89	85	87	92	38	35	134	101	304	329	263	250
gene134	144	290	230	78	63	69	65	33	54	95	54	408	571	108	249
gene135	341	307	356	482	788	439	411	245	231	455	326	462	344	359	160
gene136	1255	1834	1764	5606	5011	4997	5248	3727	4178	6457	5148	2392	2200	2939	1054
gene137	268	344	355	381	413	354	355	190	211	463	373	647	543	485	407
gene138	547	701	902	1151	1126	1010	1040	411	503	1106	629	921	886	837	574
gene139	369	430	490	1578	1430	1420	1277	1044	1098	1210	1278	1316	1078	1141	597
gene140	40	44	16	0	1	2	2	1	0	5	0	36	33	32	11
gene141	636	1045	1249	1485	1389	1513	1459	1633	1787	1963	1505	1510	1117	1003	663
gene142	366	681	940	1042	688	1161	1051	1326	1514	1459	910	978	904	697	392
gene143	0	2	1	0	1	0	1	0	0	0	1	0	0	0	1
gene144	40	41	46	112	166	111	117	40	41	135	132	92	75	83	66
gene145	9	4	14	134	279	116	118	8	21	101	26	9	5	24	6
gene146	2	3	1	8	3	6	11	10	4	8	7	7	4	3	4
gene147	2	1	0	3	5	6	5	2	3	9	3	2	2	2	0
gene148	63	92	142	166	158	157	175	62	87	176	128	172	171	111	94
gene149	84	141	139	187	168	168	179	58	75	202	126	208	212	137	123
gene150	2	0	2	5	8	1	4	4	2	9	9	3	0	4	4
gene151	1	1	0	1	1	3	0	1	0	5	0	1	3	2	0
gene152	752	1071	1793	2220	1448	1989	2046	1539	1729	3305	1944	3266	1967	2009	869
gene153	166	238	178	412	351	439	375	143	172	547	283	262	244	227	182
gene154	161	171	215	614	372	638	535	213	295	647	299	542	315	398	145
gene155	1097	1499	1771	1764	1658	1583	1560	654	665	1906	1304	3616	3498	2314	2193
gene156	201	221	252	637	550	586	602	245	265	652	410	406	428	327	270
gene157	679	1170	966	274	371	308	276	172	228	524	591	680	666	475	355
gene158	2690	2826	7179	8724	9912	9087	7826	6908	7623	7617	19350	5446	7348	7934	3860
gene159	67	80	119	330	263	335	280	144	140	502	239	229	236	167	109
gene160	359	453	389	345	188	404	310	96	153	441	323	451	417	330	311
gene161	99	180	236	229	207	216	258	124	159	233	243	273	240	127	134
gene162	31	51	41	102	111	107	91	50	39	76	220	66	73	67	48
gene163	15	2	7	14	3	10	8	14	2	10	7	24	15	10	11
gene164	98	129	123	120	112	139	132	58	54	184	89	197	138	79	115
gene165	144	197	199	307	264	311	223	243	229	577	287	368	191	266	178
gene166	1722	1789	1321	203	415	156	159	76	68	161	86	3218	2324	2300	2086
gene167	9	11	8	1	3	1	1	1	1	1	3	9	3	11	10
gene168	36	54	56	22	21	24	14	19	22	46	34	95	49	61	55
gene169	677	820	995	645	568	542	653	472	459	1052	881	1474	1491	1101	1023
gene170	825	1213	2107	2985	3969	2562	2911	1232	1411	3134	2433	1486	1760	1254	1135
gene171	39	67	61	11	7	9	9	4	7	12	13	72	62	19	66
gene172	262	500	653	25	9	21	25	5	3	24	23	394	269	85	213
gene173	69	92	96	165	151	183	148	104	93	199	168	168	147	142	109
gene174	2	5	6	7	6	6	5	3	4	10	9	6	1	4	2
gene175	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
gene176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene177	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gene178	6	6	10	4	6	12	4	2	9	13	8	7	8	5	3
gene179	213	253	501	345	391	328	386	190	246	352	302	192	202	107	114
gene180	192	199	269	193	231	224	157	53	50	350	125	216	289	151	129
gene181	243	309	344	213	222	208	207	95	103	278	168	478	426	355	247
gene182	435	628	1712	1419	668	2522	1323	267	560	2876	678	1184	951	792	582
gene183	4	3	4	1	6	4	2	4	0	1	14	4	3	6	4
gene184	10	19	15	16	21	13	15	10	11	20	4	16	13	9	12
gene185	10	15	11	16	10	21	18	9	5	14	11	9	9	11	4
gene186	21	45	58	342	80	233	325	55	60	140	90	132	86	84	39
gene187	40	49	60	46	42	53	53	22	20	50	39	130	121	63	80
gene188	1	1	1	15	9	9	18	16	8	20	10	1	2	5	2
gene189	7	12	11	9	5	4	4	9	6	8	6	26	28	33	8
gene190	1	0	2	10	2	0	4	2	3	9	4	1	2	5	3
gene191	562	709	588	819	675	753	754	348	399	1020	512	1088	888	761	704
gene192	164	331	589	410	229	425	429	199	265	669	332	622	398	323	245
gene193	25	29	31	101	86	103	95	37	54	190	84	70	39	70	56
gene194	602	1458	1027	3707	1476	4559	3689	2707	3681	8657	3523	1477	1024	963	498
gene195	4	1	10	14	5	14	8	9	9	30	8	3	2	1	1
gene196	2896	2964	2885	5324	5137	4036	4872	2315	2005	3612	3472	4045	3513	4757	3342
gene197	424	549	675	505	364	623	517	827	1464	436	158	151	152	107	152
gene198	457	667	925	2394	1530	2020	2065	1427	1553	2274	1447	1867	1166	1433	563
gene199	32	36	87	235	121	166	166	145	148	264	151	193	115	141	56
gene200	2	6	7	9	9	9	12	7	5	8	11	13	9	6	3
gene201	10	14	21	18	7	20	24	4	9	23	13	25	23	12	15
gene202	246	474	784	667	1013	596	630	472	411	801	1309	466	340	615	297
gene203	349	499	699	719	693	649	711	372	384	822	504	550	551	405	402
gene204	1091	2630	6153	1508	3579	1348	1541	999	706	2123	4266	3438	2308	2869	1858
gene205	307	537	951	1153	1005	1108	1076	753	702	1803	1296	1113	918	812	468
gene206	28	34	33	77	61	60	73	26	18	70	52	87	76	29	49
gene207	34	71	75	151	209	149	137	54	69	155	165	126	158	86	98
gene208	83	92	119	375	289	347	349	122	124	372	235	426	315	314	192
gene209	3	1	7	3	0	6	5	2	2	7	2	18	11	5	4
gene210	30	24	44	66	49	63	74	36	27	37	72	79	85	54	39
gene211	0	1	2	3	3	1	3	1	0	2	1	2	3	1	3
gene212	6	4	9	12	9	10	18	7	10	19	6	27	16	11	7
gene213	644	926	1054	1235	1107	1093	1050	517	605	1306	929	1522	1223	998	777
gene214	754	1067	1347	1390	1243	1346	1170	928	1071	2192	1435	1277	1226	1118	795
gene215	396	433	441	313	285	271	244	149	192	254	257	1577	1075	604	629
gene216	582	691	936	1002	1621	916	789	521	603	1754	915	1186	932	671	442
gene217	91	113	293	428	308	468	364	192	217	522	304	506	426	312	168
gene218	630	1084	2024	3388	2107	3181	2947	2620	2742	4113	2548	3317	1939	2073	750
gene219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene220	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene221	1	5	3	24	13	24	16	12	21	22	7	3	5	5	3
gene222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene224	184	350	345	280	166	297	215	175	215	580	222	369	243	207	225
gene225	1	1	1	2	1	2	4	2	2	2	2	0	1	1	2
gene226	54	78	115	149	74	143	103	100	87	192	127	145	130	94	97
gene227	15	23	28	37	35	33	26	15	15	47	18	43	24	29	8
gene228	0	1	2	0	2	3	0	1	4	2	0	8	0	0	2
gene229	7	14	1	7	2	6	5	2	5	6	2	13	4	4	7
gene230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene231	30	46	55	177	87	145	126	75	103	204	80	110	78	71	46
gene232	87	85	121	114	78	121	111	40	33	176	82	171	152	111	103
gene233	912	1190	1430	914	1011	876	858	359	514	1326	967	1128	998	715	765
gene234	308	554	580	778	517	759	709	429	507	1495	634	1028	753	680	365
gene235	70	117	153	279	225	331	215	112	156	315	291	127	116	93	63
gene236	3	3	2	9	14	21	12	6	2	10	13	2	3	2	3
gene237	7	4	6	4	4	3	4	3	5	15	7	9	10	4	6
gene238	590	641	115	946	33	732	838	48	63	242	24	272	152	292	312
gene239	143	183	296	496	512	476	447	154	167	515	400	538	331	442	233
gene240	999	1233	1141	1438	1487	1405	1253	642	639	1502	1145	1697	1462	1191	1027
gene241	83	153	121	333	267	318	263	158	156	323	265	216	176	167	127
gene242	3	6	5	5	7	6	12	11	3	18	8	8	6	2	7
gene243	60	76	66	160	161	198	151	89	93	268	216	136	173	109	82
gene244	4	4	3	3	7	1	2	2	6	6	5	11	6	2	4
gene245	20	40	44	34	36	32	31	16	26	54	46	63	48	38	33
gene246	1062	932	1329	2766	2585	2798	2242	1385	1523	2103	3675	1908	2705	1221	1734
gene247	535	600	382	1258	1001	1416	1452	2581	3110	1087	1045	481	257	334	294
gene248	442	559	420	1134	940	1214	1263	1656	1827	1342	972	550	305	393	348
gene249	141	181	184	423	333	553	441	326	518	463	253	217	214	177	75
gene250	256	313	218	319	329	325	298	199	285	509	275	256	316	229	244
gene251	94	168	126	117	98	124	145	116	140	164	98	156	65	45	75
gene252	954	1398	1376	966	798	1076	1024	633	618	1511	796	2020	2238	1274	1425
gene253	1	1	1	2	3	2	4	4	3	4	2	0	0	0	0
gene254	173	279	268	274	261	225	260	158	153	469	320	443	417	307	345
gene255	1	4	5	10	9	6	10	7	8	12	8	8	5	6	2
gene256	296	445	404	1006	1003	1000	991	404	469	1401	932	1217	1185	873	797
gene257	826	2107	2110	16264	7201	22649	14221	6612	9923	21131	15122	2318	2933	1500	1493
gene258	21	36	81	35	19	33	22	12	19	42	17	74	66	35	30
gene259	61	64	5	5	4	10	8	5	3	20	5	30	5	84	23
gene260	18	24	33	17	13	16	7	15	8	47	17	21	16	19	16
gene261	12	16	15	39	46	29	26	31	21	36	55	29	22	34	12
gene262	0	1	1	2	4	3	3	3	6	4	3	0	1	1	0
gene263	191	280	397	447	272	566	485	377	424	1010	433	701	425	315	220
gene264	1394	2283	3959	3385	1723	3739	3906	3086	3276	5737	3134	5978	2885	2689	1617
gene265	229	295	429	615	741	619	517	431	373	915	998	868	828	2250	407
gene266	542	689	614	1242	1230	1056	1054	660	597	1319	796	1586	1430	1308	1063
gene267	9	17	13	59	64	51	51	15	34	96	86	31	42	20	18
gene268	142	163	264	469	482	510	511	360	407	752	676	185	139	129	110
gene269	319	527	815	1412	894	1446	1398	928	961	2783	1425	962	612	559	408
gene270	135	208	249	617	447	654	610	355	568	1142	570	194	161	159	114
gene271	318	545	651	171	47	243	184	110	168	353	125	830	588	236	436
gene272	11	22	25	51	119	33	28	31	32	38	72	52	35	50	16
gene273	42	53	111	160	94	177	150	119	113	196	124	745	506	99	121
gene274	21	27	30	45	29	63	46	38	43	142	139	51	43	27	25
gene275	29	42	47	70	47	51	74	59	56	93	50	85	67	50	35
gene276	91	161	137	199	181	176	192	93	113	265	144	204	173	139	133
gene277	627	830	969	1110	953	993	1052	424	434	1394	912	1452	1437	1122	946
gene278	1322	1777	2671	2615	2701	2363	2416	1260	1923	1824	1148	2838	2200	1514	1256
gene279	482	692	835	871	665	888	772	543	590	919	1167	1510	1245	863	799
gene280	37	63	76	279	210	266	228	152	131	385	266	157	112	183	54
gene281	353	478	369	639	509	603	528	521	506	949	629	716	490	592	384
gene282	139	184	261	870	508	818	795	339	420	788	508	556	392	491	190
gene283	144	174	260	451	480	383	395	249	251	505	337	375	357	309	212
gene284	233	300	265	598	521	569	577	198	217	719	412	511	470	366	366
gene285	125	207	250	752	533	771	646	345	357	745	552	616	502	478	193
gene286	53	65	122	220	235	222	172	156	139	200	228	178	145	132	84
gene287	200	300	344	480	624	487	442	220	213	637	465	480	490	471	378
gene288	3288	4590	5462	5858	7010	5265	5586	3818	4090	6219	8704	11501	10451	8763	6023
gene289	3438	4301	5136	7789	6264	7045	7433	6502	6675	8741	8523	15048	9651	10297	4954
gene290	541	630	568	695	695	682	762	395	474	1027	767	935	673	745	624
gene291	120	169	173	381	299	372	378	112	140	451	204	308	213	186	125
gene292	195	243	466	621	447	610	577	413	411	531	786	806	731	318	284
gene293	3425	3490	3034	5195	4652	3891	4445	1841	1670	2832	2495	4059	3587	4223	3799
gene294	69	88	115	236	160	236	173	78	93	272	133	231	221	217	102
gene295	128	165	297	425	363	432	371	128	147	356	257	313	272	215	130
gene296	518	735	1052	766	861	748	794	413	456	863	780	1066	820	628	521
gene297	202	413	564	716	314	961	769	579	566	2201	482	256	312	176	147
gene298	774	1321	1930	2113	1122	3191	2339	1412	1902	6428	1540	765	831	541	456
gene299	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0
gene300	1150	2365	3531	1766	1579	2302	1573	1066	1256	4036	2309	1424	1764	1119	1118
gene301	6	11	12	10	13	19	11	11	7	42	26	4	2	3	5
gene302	296	351	728	1412	586	1341	1460	944	1000	1864	976	1538	679	964	281
gene303	473	681	999	1385	1034	1567	1369	946	1036	2294	1110	1171	935	786	465
gene304	319	472	873	654	665	727	597	288	328	820	645	642	612	653	351
gene305	107	127	121	439	326	370	447	144	152	381	254	562	499	289	269
gene306	359	444	466	763	624	650	660	351	440	718	552	691	398	471	372
gene307	209	315	470	1055	754	895	806	408	403	928	612	815	762	562	352
gene308	248	277	351	364	443	382	355	239	277	502	454	610	533	568	357
gene309	546	727	682	879	853	839	839	479	596	992	817	859	763	772	611
gene310	2	2	2	7	2	7	7	1	4	12	6	7	6	2	0
gene311	10	11	13	25	14	27	14	11	12	40	16	23	18	17	15
gene312	354	477	535	679	558	598	655	332	337	845	500	777	707	510	416
gene313	789	1140	1065	1585	1067	1552	1610	1197	1242	2573	1524	1585	978	1264	836
gene314	0	2	0	0	2	2	3	0	0	1	4	0	0	1	1
gene315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene317	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene318	0	1	2	3	3	3	1	0	2	2	1	0	0	1	2
gene319	0	4	2	17	19	20	18	7	5	12	12	11	12	6	7
gene320	0	0	1	0	1	4	0	0	1	0	2	3	2	1	0
gene321	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
gene322	3	5	4	1	3	3	1	0	0	4	3	2	4	1	1
gene323	1698	2806	2671	1784	1758	1692	1698	520	559	2120	1166	4179	3564	2093	2392
gene324	504	734	969	2065	1576	1874	1957	1188	1181	2548	1482	1386	1064	1202	683
gene325	186	320	219	236	214	224	236	103	92	242	117	318	264	214	204
gene326	422	571	606	532	711	447	461	250	263	741	457	792	697	429	461
gene327	295	726	411	498	697	643	499	463	774	792	657	620	529	470	306
gene328	357	504	469	1056	966	1052	965	611	615	1236	897	876	709	782	485
gene329	214	243	235	365	271	458	323	240	429	902	195	295	224	175	179
gene330	2	3	1	1	1	1	0	2	2	5	1	1	1	1	0
gene331	297	508	760	1546	826	1413	1378	1192	1443	2229	1234	1160	703	993	345
gene332	351	509	614	600	603	598	524	333	348	831	516	616	558	386	333
gene333	1849	2599	4340	2728	1687	2789	2396	1223	1438	3137	1606	6016	4333	3928	2035
gene334	242	452	753	407	285	384	352	206	217	419	271	1275	828	540	397
gene335	15	15	17	107	103	113	95	71	81	150	191	33	24	48	16
gene336	1966	2087	1888	3781	3480	3003	3309	1679	1575	2783	2537	2718	2212	2850	2121
gene337	43	40	93	111	74	111	133	54	67	52	39	29	28	27	15
gene338	35	28	43	63	58	43	55	35	26	48	36	63	48	44	36
gene339	151	156	264	526	350	434	449	306	313	555	455	727	427	479	186
gene340	3	3	7	4	2	5	2	0	0	6	3	9	11	0	10
gene341	565	1199	1996	36	21	44	34	15	13	44	24	1904	4115	654	2450
gene342	313	394	572	564	402	506	574	297	405	631	410	844	748	566	426
gene343	370	508	392	813	619	706	836	639	649	1369	712	377	280	383	315
gene344	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
gene345	75	134	152	186	180	206	181	89	92	252	229	252	212	167	132
gene346	206	462	400	743	695	872	686	329	436	1418	866	547	490	472	262
gene347	106	149	329	260	367	226	254	122	156	268	171	342	201	352	105
gene348	0	2	0	1	0	5	0	0	0	4	0	1	1	1	1
gene349	52	107	93	136	108	146	178	60	51	202	141	183	215	115	134
gene350	170	213	231	439	597	399	487	190	195	515	393	465	459	439	260
gene351	76	111	202	329	277	352	323	227	221	385	266	323	278	266	148
gene352	174	205	232	433	326	409	427	100	116	417	225	352	356	207	250
gene353	58	61	72	190	130	133	168	42	57	235	101	122	99	71	78
gene354	491	559	922	432	475	364	405	148	154	277	309	2554	3053	248	195
gene355	11	10	23	16	31	25	22	5	5	31	12	33	33	66	33
gene356	6	7	3	6	11	10	7	8	4	8	3	10	9	6	3
gene357	44	60	55	87	111	97	92	31	34	74	51	96	105	96	75
gene358	464	539	941	954	1280	784	809	443	555	686	570	938	576	1036	346
gene359	2	1	0	4	1	7	0	0	1	0	0	0	4	2	1
gene360	70	69	92	151	189	119	115	92	54	141	118	165	122	164	93
gene361	695	961	837	212	205	187	228	64	85	250	276	1206	2269	578	686
gene362	3	4	2	4	1	1	4	1	1	11	3	9	10	6	0
gene363	30	36	62	92	84	93	76	35	59	168	80	77	72	40	38
gene364	111	165	243	225	206	174	195	113	132	360	184	282	234	191	197
gene365	77	119	133	165	150	129	154	79	73	187	182	141	139	126	82
gene366	1168	2158	1939	3697	2227	2952	3329	2304	2220	3734	2195	3473	2378	2450	1301
gene367	90	129	135	263	221	275	290	250	259	534	306	288	260	197	143
gene368	85	121	124	199	240	243	215	207	217	326	206	206	193	150	111
gene369	1733	2841	6380	3364	3325	2938	2913	1923	2680	4792	3832	4943	4560	2707	2037
