lib	specific_hits	mapping_hits	raw_reads/pairs_count	mapped_reads/pairs_count	feature_overlapping_hits	feature_overlapping_hits/specific_hits_percent
Mutant1_M2	9593909	26650227	12685482	12190626	5474450	57.06
Mutant1_M3	13404927	22928549	15565503	14876795	7769961	57.96
Mutant1_M4	16354117	21617770	17991137	17184243	9690110	59.25
Mutant2_M1	16585256	21852223	18214638	17415318	10159752	61.26
Mutant2_M2	14523914	26367599	17032549	16356734	8676121	59.74
Mutant2_M3	15947343	21676564	17589527	16849012	9683900	60.72
Mutant2_M4	15545441	27733877	18260627	17436358	9456558	60.83
Mutant3_M3	11368126	40552692	16344215	15799985	6717599	59.09
Mutant3_M4	12816881	31871414	16351887	15727241	7530542	58.75
Mutant3_M1	20774847	25372126	22497932	21511305	12204414	58.75
Mutant3_M2	15163201	27700976	17818609	17097796	9220727	60.81
WT_M1	20027297	28308525	22272273	21313181	12150662	60.67
WT_M2	17503944	24496152	19352855	18596506	11055755	63.16
WT_M3	13705010	29084558	16691201	16060938	8471223	61.81
WT_M4	11312239	25213105	13975127	13446855	6845754	60.52
