id	0_seqid	1_start	2_end	3_strand	4_length	5_type	6_Note	Mutant1_M2-count	Mutant1_M2-rpkm	Mutant1_M3-count	Mutant1_M3-rpkm	Mutant1_M4-count	Mutant1_M4-rpkm	Mutant2_M1-count	Mutant2_M1-rpkm	Mutant2_M2-count	Mutant2_M2-rpkm	Mutant2_M3-count	Mutant2_M3-rpkm	Mutant2_M4-count	Mutant2_M4-rpkm	Mutant3_M3-count	Mutant3_M3-rpkm	Mutant3_M4-count	Mutant3_M4-rpkm	Mutant3_M1-count	Mutant3_M1-rpkm	Mutant3_M2-count	Mutant3_M2-rpkm	WT_M1-count	WT_M1-rpkm	WT_M2-count	WT_M2-rpkm	WT_M3-count	WT_M3-rpkm	WT_M4-count	WT_M4-rpkm
gene1	Contig_1.1	29399	32771	-	3373	gene		2490	76.95	6756	149.42	7961	144.32	16640	297.45	12003	245.01	28910	537.46	14681	279.99	18006	469.58	40341	933.14	31950	455.95	10342	202.21	2313	34.24	1436	24.32	3816	82.55	924	24.22
gene2	Contig_1.1	53538	54030	+	493	gene		374	79.07	490	74.15	398	49.36	388	47.45	354	49.44	401	51.00	356	46.45	238	42.47	268	42.41	543	53.02	385	51.50	466	47.20	299	34.65	312	46.18	294	52.72
gene3	Contig_1.1	424032	425831	+	1800	gene		70	4.05	97	4.02	124	4.21	302	10.12	277	10.60	311	10.83	234	8.36	118	5.77	128	5.55	465	12.43	268	9.82	151	4.19	132	4.19	154	6.24	71	3.49
gene4	Contig_1.2	1389673	1390639	-	967	gene		18	1.94	16	1.23	22	1.39	11	0.69	10	0.71	24	1.56	18	1.20	9	0.82	7	0.56	38	1.89	18	1.23	34	1.76	24	1.42	21	1.58	31	2.83
gene5	Contig_1.51	151283	152257	+	975	gene		2	0.21	2	0.15	1	0.06	4	0.25	0	0.00	3	0.19	1	0.07	1	0.09	0	0.00	3	0.15	2	0.14	2	0.10	2	0.12	2	0.15	0	0.00
gene6	Contig_1.51	153975	155949	-	1975	gene		67	3.54	94	3.55	133	4.12	209	6.38	149	5.19	190	6.03	188	6.12	125	5.57	162	6.40	248	6.04	142	4.74	196	4.96	103	2.98	115	4.25	81	3.63
gene7	Contig_1.51	157965	159071	+	1107	gene		75	7.06	87	5.86	88	4.86	153	8.33	128	7.96	115	6.51	137	7.96	90	7.15	83	5.85	179	7.78	98	5.84	208	9.38	110	5.68	107	7.05	100	7.99
gene8	Contig_1.51	159786	160934	+	1149	gene		584	52.98	704	45.71	553	29.43	1789	93.88	964	57.77	1478	80.66	1576	88.23	679	51.98	1086	73.74	2056	86.13	585	33.58	879	38.20	506	25.16	723	45.91	564	43.39
gene9	Contig_1.51	161680	163776	+	2097	gene		873	43.39	1221	43.44	969	28.26	2802	80.57	1850	60.74	2289	68.45	2511	77.03	2382	99.92	2523	93.87	4983	114.38	2503	78.72	1286	30.62	626	17.05	1625	56.54	687	28.96
gene10	Contig_1.51	165012	165804	-	793	gene		117	15.38	206	19.38	183	14.11	271	20.61	221	19.19	273	21.59	239	19.39	91	10.09	87	8.56	339	20.58	204	16.97	278	17.50	263	18.95	182	16.75	187	20.85
gene11	Contig_1.51	166635	168052	+	1418	gene		16	1.18	29	1.53	39	1.68	64	2.72	52	2.52	48	2.12	58	2.63	29	1.80	16	0.88	103	3.50	33	1.53	51	1.80	61	2.46	42	2.16	49	3.05
gene12	Contig_1.51	170537	171539	-	1003	gene		1916	199.11	5368	399.25	4978	303.48	17	1.02	6	0.41	15	0.94	9	0.58	8	0.70	15	1.17	40	1.92	6	0.39	413	20.56	342	19.48	183	13.31	382	33.67
gene13	Contig_1.51	172812	174020	-	1209	gene		51	4.40	77	4.75	57	2.88	67	3.34	45	2.56	59	3.06	76	4.04	34	2.47	33	2.13	100	3.98	61	3.33	95	3.92	67	3.17	51	3.08	60	4.39
gene14	Contig_1.51	174709	177201	-	2493	gene		193	8.07	310	9.28	619	15.18	536	12.96	481	13.28	570	14.34	465	12.00	264	9.32	344	10.77	812	15.68	307	8.12	424	8.49	423	9.69	381	11.15	230	8.16
gene15	Contig_1.2	1391857	1392132	-	276	gene		0	0.00	1	0.27	0	0.00	1	0.22	0	0.00	5	1.14	4	0.93	2	0.64	2	0.57	8	1.40	1	0.24	4	0.72	2	0.41	0	0.00	1	0.32
gene16	Contig_1.52	263	850	-	588	gene		1	0.18	2	0.25	7	0.73	20	2.05	10	1.17	13	1.39	22	2.41	5	0.75	5	0.66	20	1.64	6	0.67	11	0.93	8	0.78	11	1.37	1	0.15
gene17	Contig_1.52	1189	2247	-	1059	gene		13	1.28	30	2.11	43	2.48	45	2.56	16	1.04	32	1.89	44	2.67	12	1.00	24	1.77	59	2.68	20	1.25	38	1.79	36	1.94	14	0.96	23	1.92
gene18	Contig_1.52	12274	15983	-	3710	gene		382	10.73	570	11.46	1005	16.56	2626	42.68	1555	28.86	2370	40.06	2339	40.56	1304	30.92	1364	28.69	2892	37.52	1983	35.25	2071	27.87	1456	22.42	1535	30.19	515	12.27
gene19	Contig_1.52	23854	25414	-	1561	gene		235	15.69	376	17.97	347	13.59	599	23.14	487	21.48	581	23.34	511	21.06	353	19.89	413	20.64	951	29.33	603	25.48	636	20.34	476	17.42	285	13.32	311	17.61
gene20	Contig_1.52	26666	27574	+	909	gene		45	5.16	67	5.50	52	3.50	51	3.38	55	4.17	71	4.90	60	4.25	42	4.06	58	4.98	142	7.52	62	4.50	128	7.03	75	4.71	34	2.73	61	5.93
gene21	Contig_1.52	31725	33507	-	1783	gene		1766	103.24	3243	135.68	3314	113.65	1767	59.75	973	37.57	2260	79.48	1506	54.33	766	37.79	1067	46.69	5961	160.93	1996	73.83	6009	168.28	4121	132.04	1898	77.67	3222	159.74
gene22	Contig_1.52	42276	43385	+	1110	gene		622	58.41	1105	74.26	1262	69.52	2465	133.90	1405	87.15	2555	144.34	2238	129.70	1730	137.10	2122	149.16	3664	158.89	2169	128.87	2439	109.72	1678	86.36	1189	78.16	963	76.69
gene23	Contig_1.52	45653	46393	-	741	gene		1	0.14	5	0.50	2	0.17	3	0.24	2	0.19	1	0.08	6	0.52	2	0.24	1	0.11	5	0.32	4	0.36	2	0.13	2	0.15	0	0.00	4	0.48
gene24	Contig_1.52	47611	50967	+	3357	gene		27	0.84	58	1.29	46	0.84	123	2.21	96	1.97	149	2.78	123	2.36	67	1.76	85	1.98	181	2.60	117	2.30	70	1.04	88	1.50	54	1.17	45	1.18
gene25	Contig_1.52	54141	55130	-	990	gene		0	0.00	1	0.08	0	0.00	0	0.00	1	0.07	0	0.00	2	0.13	0	0.00	1	0.08	1	0.05	0	0.00	0	0.00	0	0.00	2	0.15	0	0.00
gene26	Contig_1.2	1393668	1394768	+	1101	gene		1	0.09	1	0.07	2	0.11	2	0.11	1	0.06	3	0.17	1	0.06	0	0.00	2	0.14	5	0.22	3	0.18	5	0.23	0	0.00	4	0.27	2	0.16
gene27	Contig_1.52	56788	57906	-	1119	gene		547	50.95	800	53.33	1194	65.24	762	41.06	901	55.44	769	43.09	709	40.76	570	44.81	779	54.32	917	39.45	807	47.56	870	38.82	659	33.64	827	53.93	505	39.89
gene28	Contig_1.52	58515	60396	+	1882	gene		130	7.20	217	8.60	267	8.67	122	3.91	115	4.21	151	5.03	166	5.67	69	3.23	121	5.02	201	5.14	136	4.77	295	7.83	169	5.13	166	6.44	175	8.22
gene29	Contig_1.52	61795	64016	+	2222	gene		5	0.23	5	0.17	11	0.30	6	0.16	5	0.15	8	0.23	3	0.09	6	0.24	6	0.21	20	0.43	4	0.12	3	0.07	7	0.18	7	0.23	5	0.20
gene30	Contig_1.52	65054	67643	-	2590	gene		15	0.60	28	0.81	26	0.61	2462	57.31	560	14.89	1927	46.65	2091	51.93	47	1.60	80	2.41	257	4.78	48	1.22	41	0.79	31	0.68	29	0.82	26	0.89
gene31	Contig_1.52	70574	72117	+	1544	gene		101	6.82	173	8.36	265	10.49	227	8.86	158	7.05	174	7.07	201	8.37	134	7.63	136	6.87	329	10.26	268	11.45	470	15.20	311	11.51	221	10.44	162	9.28
gene32	Contig_1.52	72189	74070	-	1882	gene		105	5.82	216	8.56	296	9.62	315	10.09	234	8.56	270	9.00	277	9.47	166	7.76	205	8.50	321	8.21	348	12.19	526	13.96	364	11.05	314	12.17	191	8.97
gene33	Contig_1.52	74862	77117	+	2256	gene		579	26.75	852	28.17	1003	27.19	644	17.21	707	21.58	831	23.10	614	17.51	473	18.44	516	17.85	970	20.70	704	20.58	2911	64.43	1639	41.51	3014	97.48	982	38.48
gene34	Contig_1.52	77867	79008	-	1142	gene		348	31.76	603	39.39	789	42.25	455	24.02	710	42.81	447	24.54	545	30.70	384	29.58	591	40.38	358	15.09	611	35.28	790	34.54	605	30.27	488	31.18	462	35.76
gene35	Contig_1.52	79815	82166	+	2352	gene		323	14.31	477	15.13	650	16.90	1166	29.89	960	28.10	1152	30.71	1101	30.11	828	30.97	756	25.08	1426	29.18	1001	28.07	1231	26.13	886	21.52	866	26.87	549	20.63
gene36	Contig_1.52	82820	84798	+	1979	gene		388	20.44	430	16.21	476	14.71	652	19.86	593	20.63	565	17.90	547	17.78	306	13.60	245	9.66	813	19.77	481	16.03	824	20.79	714	20.61	552	20.35	470	20.99
gene37	Contig_1.2	1397373	1400130	+	2758	gene		39	1.47	53	1.43	26	0.58	34	0.74	28	0.70	21	0.48	34	0.79	11	0.35	11	0.31	33	0.58	34	0.81	104	1.88	87	1.80	245	6.48	53	1.70
gene38	Contig_1.52	85110	87048	+	1939	gene		276	14.84	440	16.93	541	17.06	888	27.61	576	20.45	715	23.12	776	25.74	197	8.94	207	8.33	799	19.83	449	15.27	781	20.11	762	22.45	536	20.17	466	21.25
gene39	Contig_1.52	90866	91150	+	285	gene		3	1.10	9	2.36	12	2.57	17	3.60	4	0.97	18	3.96	14	3.16	4	1.23	3	0.82	22	3.72	6	1.39	11	1.93	10	2.00	8	2.05	7	2.17
